2_69	1_165	25.382	327	218	8	29	347	286	594	2.21e-26	107
2_69	1_165	53.125	32	15	0	396	427	946	977	3.51e-04	37.7
2_69	1_387	29.870	308	171	11	30	332	134	401	1.46e-24	100
2_69	1_315	26.625	323	203	8	33	336	363	670	1.73e-24	101
2_69	1_90	29.870	308	171	11	30	332	143	410	3.73e-24	100
2_69	1_90	42.857	70	36	1	386	451	690	759	7.00e-10	55.8
2_69	1_356	29.870	308	171	11	30	332	192	459	5.27e-24	99.8
2_69	1_337	30.043	233	147	5	114	337	1167	1392	1.12e-23	99.8
2_69	1_233	30.081	246	155	5	109	345	8	245	1.76e-22	95.1
2_69	1_233	37.500	56	35	0	396	451	536	591	6.26e-08	49.3
2_69	1_357	27.946	297	183	9	111	390	879	1161	4.79e-21	91.3
2_69	1_56	52.941	68	31	1	385	451	131	198	5.08e-17	74.7
2_69	1_74	42.105	76	44	0	383	458	583	658	8.18e-17	77.8
2_69	1_74	28.829	222	123	6	142	359	122	312	8.27e-15	71.2
2_69	1_156	53.731	67	31	0	385	451	412	478	8.87e-17	77.0
2_69	1_156	25.758	132	81	6	29	152	106	228	2.98e-04	37.7
2_69	1_118	28.481	158	100	3	120	277	177	321	4.08e-11	59.7
2_69	1_242	25.342	146	108	1	213	357	5	150	8.23e-09	52.0
2_69	1_5	27.143	140	92	3	227	362	192	325	3.98e-08	50.1
2_69	1_5	31.000	100	55	2	358	443	555	654	8.09e-06	42.7
2_69	1_197	38.710	62	37	1	286	347	291	351	3.39e-07	46.6
2_69	1_68	40.909	44	26	0	396	439	241	284	1.02e-05	41.6
2_71	1_136	74.542	927	231	2	1	922	21	947	0.0	1453
2_73	1_86	75.122	205	49	2	13	217	15	217	1.07e-108	322
2_74	1_353	63.845	567	197	4	1	560	1	566	0.0	756
2_76	1_305	83.310	2894	450	2	527	3420	849	3709	0.0	5044
2_76	1_305	73.510	151	40	0	1	151	702	852	7.00e-61	228
2_76	1_308	82.474	2134	374	0	1	2134	1243	3376	0.0	3685
2_76	1_245	33.159	3251	2011	51	259	3417	692	3872	0.0	1768
2_76	1_222	31.339	3376	2115	57	162	3420	792	4081	0.0	1707
2_77	1_91	79.599	299	59	2	17	315	15	311	0.0	511
2_77	1_300	38.577	267	141	11	53	305	957	1214	4.99e-45	158
2_77	1_70	35.802	243	140	8	69	300	183	420	2.37e-39	138
2_77	1_369	28.761	226	138	9	91	300	202	420	5.49e-20	84.7
2_78	1_305	87.941	2861	345	0	817	3677	849	3709	0.0	5283
2_78	1_305	69.797	394	117	2	49	441	460	852	1.21e-158	550
2_78	1_308	83.845	2377	382	2	49	2424	1001	3376	0.0	4148
2_78	1_245	33.447	3226	1991	52	557	3674	695	3872	0.0	1771
2_78	1_222	31.250	3360	2118	57	446	3677	786	4081	0.0	1695
2_79	1_390	75.577	1343	320	5	1	1337	1	1341	0.0	2048
2_80	1_220	90.769	520	47	1	1	519	1	520	0.0	921
2_81	1_110	93.614	2067	102	5	1	2064	12	2051	0.0	3971
2_81	1_424	28.729	181	109	6	54	234	155	315	5.48e-10	58.5
2_81	1_425	30.081	123	76	5	167	286	368	483	3.63e-05	43.5
2_81	1_293	19.187	443	277	18	469	863	514	923	8.67e-04	38.9
2_83	1_112	84.900	702	100	5	1	698	1	700	0.0	1221
2_85	1_227	75.439	969	235	1	27	995	1	966	0.0	1540
2_86	1_119	87.436	390	47	2	1	389	1	389	0.0	708
2_87	1_299	66.246	1031	347	1	15	1044	17	1047	0.0	1424
2_88	1_115	70.612	735	177	14	10	731	1	709	0.0	961
2_89	1_382	67.870	803	251	5	51	849	1	800	0.0	1132
2_90	1_215	53.241	864	392	8	1	858	1	858	0.0	884
2_91	1_121	93.517	509	31	1	96	602	112	620	0.0	965
2_91	1_57	34.694	49	32	0	173	221	51	99	3.00e-04	38.1
2_92	1_395	87.755	392	47	1	1	391	1	392	0.0	715
2_93	1_242	63.947	380	48	4	138	428	1	380	9.44e-156	442
